Item,Description,Weight (g),Cost,Units,Sub-total,Link
Frame,Lumenier QAV-R 2 Slam Deadcat Freestyle Quadcopter 6�,146,$59.98 ,1,$59.98 ,https://www.getfpv.com/lumenier-qav-r-2-slam-deadcat-freestyle-quadcopter-frame-5-6-7.html
FC/ESC,SpeedyBee F405 Stack,23.4,$71.99 ,1,$71.99 ,https://www.getfpv.com/speedybee-f405-stack-f405-v3-fc-50a-3-6s-blheli-s-4-in-1-esc-30x30.html
Motors,Racerstar BR2207S 1600 KV 3-6S (4 pack),140,$36.00 ,1,$36.00 ,https://usa.banggood.com/4X-Racerstar-2207-BR2207S-Fire-Edition-1600KV-3-6S-Brushless-Motor-For-RC-Drone-FPV-Racing-Frame-Kit-p-1284984.html
Propellers,6x3.8x2,9.6,$3.99 ,3,$11.97 ,https://www.getfpv.com/emax-avan-long-range-6x3-8x2-propeller-set-of-4.html
Batteries,CNHL 1200 mAh 6S,210,$21.99 ,3,$65.97 ,https://www.getfpv.com/cnhl-speedy-pizza-drones-100c-xt60-lipo-battery-1200mah-6s.html
Accessory,HGLRC M100 Mini GPS,2.6,$15.99 ,1,$15.99 ,https://www.banggood.com/HGLRC-M100-MINI-GPS-Module-M10-Chip-Built-in-Ceramic-Atenna-for-2-7-Inch-Freestyle-Long-Range-FPV-Racing-RC-Drone-p-1982120.html
Accessory,HGLRC Loud Buzzer,3.6,$8.54 ,2,$17.08 ,https://www.banggood.com/HGLRC-Soter-22x12x12mm-Super-Loud-Buzzer-5V-with-LED-For-FPV-Racing-RC-Drone-p-1831253.html?cur_warehouse=CN
Accessory,HGLRC LED pack,0.4,$7.99 ,1,$7.99 ,https://www.getfpv.com/hglrc-mini-led-pack-38mm-4pcs.html
RX/TX,MATEKSYS ExpressLRS R24 D,3,$19.99 ,1,$19.99 ,https://www.getfpv.com/mateksys-expresslrs-2-4ghz-receiver-elrs-r24-d.html
RX/TX,HGLRC Zeus VTX 800 mW,4.8,$22.22 ,1,$22.22 ,https://www.banggood.com/HGLRC-Zeus-VTX-5_8G-40CH-PIT-or-25-or-100-or-200-or-400-or-800mW-Smart-Mounting-20+20mm-or-30+30mm-FPV-Transmitter-Built-in-Microphone-For-FPV-RC-Racing-Drone-p-1761340.html?cur_warehouse=CN
RX/TX,Eachine Cloverleaf 5dB antenna (RCHP SMA) (1 pair),12,$12.29 ,1,$12.29 ,https://usa.banggood.com/Eachine-K-Loverleaves-5_8G-5dBi-6-Leaf-Clover-Antenna-RHCP-SMA-or-RP-SMA-1-Pair-For-FPV-VTX-RX-RC-Drone-p-1152016.html
Accessory,MicroSD card 32 GB,,$7.59 ,1,$7.59 ,https://www.banggood.com/Lenovo-Thinkplus-TF-Memory-Card-32G-64GB-128GB-256GB-High-Speed-A1-U1-C10-Micro-SD-Card-MP4-MP3-Card-for-Car-Driving-Recorder-Security-Monitor-Card-Speakers-p-1975858.html
Accessory,RunCam Nano 2 FPV Camera,3.2,$20.99 ,1,$20.99 ,https://www.getfpv.com/runcam-nano-2-14x14-700tvl-cmos-fpv-camera.html
TOTAL,TOTAL,558.6$370.05 ,
